Movie,Director,Distribution,Star,Rating,Budget,BoxOffice,RunningTime,Genre,Year,Month,Tomatometer
ACivilAction,StevenZaillian,BuenaVistaPictures,JohnTravolta,Unknown,169.72,84.5,115,Drama,1999,January,0.6
AtFirstSight,IrwinWinkler,MetroGoldwynMayer,ValKilmer,Unknown,135.776,33.7,128,Romance,1999,January,0.32
Affliction,PaulSchrader,Lionsgate,NickNolte,Unknown,13.578,9.6,114,Drama,1999,January,0.88
VarsityBlues,BrianRobbins,ParamountPictures,JamesVanDerBeek,Unknown,36.207,81.9,106,Comedy,1999,January,0.4
Virus,JohnBruno,UniversalPictures,JamieLeeCurtis,Unknown,169.72,46.3,99,SciFi,1999,January,0.09
Gloria,SidneyLumet,ColumbiaPictures,SharonStone,Unknown,67.888,6.3,108,Crime,1999,January,0.17
ShesAllThat,RobertIscove,MiramaxFilms,FreddiePrinzeJr.,Unknown,22.629,155.7,97,Romance,1999,January,0.39
Payback,BrianHelgeland,ParamountPictures,MelGibson,Unknown,204.339,244.6,101,Crime,1999,February,0.54
SimplyIrresistible,MarkTarlov,20thCenturyFox,SarahMichelleGellar,Unknown,13.623,6.6,96,Romance,1999,February,0.13
BlastfromthePast,HughWilson,NewLineCinema,BrendanFraser,Unknown,79.465,61,112,Romance,1999,February,0.57
MessageinaBottle,LuisMandoki,WarnerBros.Pictures,KevinCostner,Unknown,181.635,178.6,131,Romance,1999,February,0.32
MyFavoriteMartian,DonaldPetrie,BuenaVistaPictures,JeffDaniels,Unknown,147.578,55.8,93,SciFi,1999,February,0.12
Jawbreaker,DarrenStein,TriStarPictures,RoseMcGowan,Unknown,7.947,4.7,87,Comedy,1999,February,0.07
OctoberSky,JoeJohnston,UniversalPictures,JakeGyllenhaal,Unknown,56.761,52.5,107,Biography,1999,February,0.9
OfficeSpace,MikeJudge,20thCenturyFox,RonLivingston,Unknown,22.704,18.5,89,Comedy,1999,February,0.79
200Cigarettes,RisaBramonGarcia,ParamountPictures,BenAffleck,Unknown,13.623,9.1,101,Comedy,1999,February,0.28
TheOtherSister,GarryMarshall,BuenaVistaPictures,JulietteLewis,Unknown,79.465,42.1,130,Romance,1999,February,0.29
8mm,JoelSchumacher,ColumbiaPictures,NicolasCage,Unknown,90.817,146.2,123,Crime,1999,February,0.22
AnalyzeThis,HaroldRamis,WarnerBros.Pictures,RobertDeNiro,Unknown,181.494,267.6,103,Comedy,1999,March,0.69
